Sample_ID,Trt,Block,Year,Weight,001: 10:0,003: 11:0 anteiso,004: 11:0,005: 10:0 2OH,008: 12:0 anteiso,011: 12:0,013: 13:0 anteiso,017: 13:0,019: 14:0 iso,020: 14:0 anteiso,024: 14:1 w5c,026: 14:0,028: 15:1 iso w6c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,034: 15:1 w9c,037: 15:1 w6c,038: 15:1 w5c,039: 16:1 w9c aldehyde,041: 15:0,042: 16:1 w7c alcohol,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,051: 16:1 w6c,052: 16:1 w5c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,060: 17:1 anteiso w7c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,065: 17:1 w7c,066: 17:1 w6c,067: 17:0 cyclo w7c,068: 17:1 w5c,069: 17:1 w4c,070: 17:1 w3c,071: 17:0,072: 17:1 w7c 10-methyl,073: 16:0 2OH,074: 17:0 10-methyl,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:0,087: 18:1 w7c 10-methyl,088: 17:0 iso 3OH,089: 18:0 10-methyl,092: 19:0 iso,094: 19:0 anteiso,097: 19:1 w7c,099: 19:0 cyclo w9c,100: 19:0 cyclo w7c,102: 19:1 w7c 10-methyl,106: 20:0 iso,108: 20:1 w9c,109: 20:1 w8c,110: 20:1 w6c,113:20:00,tot.biomass
8,Control,4,Pre.2019,2.3802,0,0,0,0,0,3.879399224,0,0,5.195715365,0,0,8.724882082,7.512237216,3.552123599,43.50658137,34.75716106,0,1.211452605,0,1.100004648,5.2622924,2.166547552,17.52258692,2.058166324,11.22370284,76.40806867,0,105.5613582,135.7983358,0,71.39036573,13.3835953,12.52019602,0,20.1566268,21.132555,10.46646001,0,0,8.177816056,0,0,0,4.408526406,6.740291792,0,3.555884994,5.291299522,25.48700664,72.25077064,139.3272194,13.86187058,44.94491363,7.498743435,2.660337546,16.47188067,8.44168497,0,4.613894006,0,14.98578323,0,0,8.08372067,0,2.126365618,9.148234852,1012.566659
9,Compost,5,Pre.2019,2.3873,0,0,0,1.37849588,0,2.007099534,0,0,4.134835669,0,0,5.311596312,6.117752576,2.531000332,30.77256595,24.31086436,0,0.793829198,0,0.732802004,3.522193589,2.281274866,12.55551245,1.237812305,8.958001003,51.9245076,0,46.25756181,74.12893747,0,49.82217548,7.537968723,6.399442927,0,12.35452345,13.95192782,7.566812896,0,0,6.432442093,0,0,0,2.679117189,5.42047689,0,2.615193556,3.72386244,17.85626248,50.81875115,90.30443732,8.521184585,19.38709407,6.864507579,2.023149393,11.56487369,5.051462265,0,2.947695265,0,14.25150321,0,0,5.194129337,0,1.173481131,4.478326776,637.8974446
10,Control,5,Pre.2019,2.1891,0,0,0,0,0,0,0,0,0,0,0,3.371324676,0,0,8.733311376,5.294615675,0,0,0,0,1.126538512,0,4.179007048,0,1.978991546,11.12037614,0,5.831703068,30.29932548,0,16.23070081,1.450725736,0.689550478,0,3.932244082,2.986259087,1.761644178,0,0,2.336272301,0,0,0,1.003248402,1.337330046,0,0.97234776,0.825888827,5.839446894,15.71429262,20.00248068,2.149076463,8.969910785,1.517202341,0,2.71388805,0,0,0,0,4.283788167,0,0,0,0,0,2.226563336,168.8780546
11,Compost,6,Pre.2019,2.0408,0,0,0,0,0,0,0,0,3.400988161,0,0,7.193974671,4.526178691,0,35.02862195,26.45911963,0,0,0,0,3.595330741,0,13.7718107,0,0,0,0,27.61320203,103.3466488,0,32.94524135,0,4.314374612,0,14.26083668,14.38097476,1.899390863,0,2.599605124,0,0,0,0,3.287777248,5.036394528,0,2.079483645,0,3.876101112,20.02206952,80.70487962,10.20603571,37.38845243,3.47676549,0,14.34729443,0,1.969569513,2.425446315,0,0,0,0,0,0,5.218249955,8.374753735,493.749572
12,Control,6,Pre.2019,2.0245,0,0,0,1.057213325,0,2.911338561,0,0,3.19711837,0,0,4.735097619,3.755107401,1.726986148,24.61138636,19.10541039,0,0,0,0.660733639,2.987304881,0,10.03448478,0.985461015,5.365885175,39.18554486,0,36.13878587,68.96724617,0,42.34668781,6.900709997,5.762608696,0,10.09487795,11.48597166,4.358963356,0,3.450742713,0,0,0,0,2.437957933,4.665189583,0,2.188794581,2.332843766,10.78899947,36.13242451,77.97595869,9.005599513,21.01381172,6.333016049,1.319391333,7.921330401,5.366403295,0,4.183508018,0,4.727324136,0,0,3.972755168,0,1.654432001,4.052612611,515.8980195
13,Compost,7,Pre.2019,2.3399,0,0,0,0,0,1.210965378,0,0,4.018400987,0,0,4.463813268,4.992143997,1.610512253,28.32140101,22.40982668,0,0,0,1.182419541,3.414074976,0,11.10966903,0.819257607,4.508558254,45.70044253,0,26.16786662,72.07803986,0,36.72910744,0,4.848424594,1.713495154,11.85796493,12.43956047,3.355827262,3.587158094,4.245978463,0,0,0,0,2.764682237,5.849078236,0.69359412,3.322109248,1.243904035,6.289402255,31.92758354,97.59002382,10.51261906,20.57083471,8.876000126,1.445984799,12.03067308,0,0,6.648714966,4.846376244,0,0,0,3.82640481,0,2.938943633,4.460065657,536.621903
14,Control,7,Pre.2019,2.052,0,0,0,0,0,0,0,0,2.325519258,0,0,3.220910793,2.927284234,0.775656644,16.94471533,13.09131186,0,0,0,0.988280436,3.443559694,0,6.678549609,0,3.960280755,26.38298669,0,21.78225059,49.43822678,29.92613823,0,3.787033677,1.391109969,0,6.033493288,7.73378073,2.999505682,0.960755536,2.760644572,0,0,0,0,1.813094446,3.536367824,0.73851071,1.339845957,1.611643129,7.01794498,28.53222248,58.83262155,6.378535102,21.40083147,6.155721075,1.675898619,6.264767642,3.97159339,0,2.77953298,0,6.651632934,0,0,2.980563538,0,0.975740815,3.467841007,373.676904
15,Compost,8,Pre.2019,2.0185,0,0,0,0,0,0,0,0,2.669094983,0,0,2.883975391,3.016141685,1.098538556,19.46948628,16.92372328,0,0,0,0.862868132,2.798949066,0,8.878024135,0.541593987,3.718199706,25.14204855,0,22.2904886,54.89666201,0,32.16216829,4.722935325,2.674431048,0,10.10169845,9.273073357,3.464768106,0,2.838417429,0,0,0,0,1.946304477,4.889353494,0.74099334,2.602731034,1.415416612,7.557024959,26.75318425,60.84976156,6.001645202,18.66014081,9.533080364,3.213850869,9.905369548,0,0,3.572495946,3.476752884,0,0,0,3.433687646,0,1.296278956,4.657371631,400.9327299
16,Control,8,Pre.2019,2.0473,0,0,0,0,0,0,0,0,2.484961572,0,0,3.184655223,2.04982748,0.720431557,17.34068252,17.7758529,0,0,0,1.067815847,3.509947117,0,7.108998286,0,2.307119135,25.83727148,0,16.00737783,49.29092626,0,23.13886777,0,2.374919255,0,8.940734097,8.715598832,2.052716801,2.349423478,1.813018275,0,0,0,0.725521385,2.084994124,3.139114974,0,1.179375013,0.744855693,2.176712612,15.71224718,58.79370637,5.844067842,22.45720898,6.805222468,4.270230425,7.343875331,0,0,3.262446486,2.697416264,0,0,0,2.290874637,0,1.467290346,4.359354301,343.4256601
1,Compost,1,Post.2019,2.209,0,0,0,0,0,0,0,0,2.816962169,0,0,3.275658866,0,0,17.61603989,13.86520406,0,0,0,1.79596385,4.350665711,0,7.003661931,0,0,0,0,16.24622573,58.95635047,0,20.5696751,0,0,0.969377177,8.345392999,8.577337618,1.490870188,3.967702685,0,0,0,0,1.178037803,2.197231797,3.32438516,0,1.626213335,0,1.47417454,14.46773247,61.69743917,7.675033771,18.14340793,2.447981308,1.005684004,6.62173874,2.704231442,0,2.953748383,1.210813745,0,0,0,1.767917483,0,2.476923614,4.037971929,306.8577551
